StoreNumber,dayOfTheYear,3HourBucket,GrossSoldQuantity,Cash/Credit Site,EBT Site,Loyalty Site,ExtraMile Site,CoBrand,Alcohol,Carwash,Food Service,City,State
1000,1,1,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,1,2,5,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,1,3,6,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,1,4,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2,1,13,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2,2,31,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2,3,63,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2,4,47,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,3,1,10,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,3,2,27,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,3,3,48,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,3,4,35,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
